Dates,Dates Url,Top 10 Gross,%± LW,Overall Gross,%± LW1,Releases,#1 Release,#1 Release Url,Genre,Budget,Running Time,Week,Week Url,Long Weekend,Country
Jan 31-Feb 2,https://www.boxofficemojo.com/weekend/2025W05/?area=GB&ref_=bo_wey_table_18,"$7,555,281",-16.80%,"$10,070,826",-6.80%,48,A Complete Unknown,https://www.boxofficemojo.com/release/rl4096360449/?ref_=bo_wey_table_18,-,-,-,5,https://www.boxofficemojo.com/weekend/2025W05/?area=GB&ref_=bo_wey_table_18,FALSE,United Kingdom
Jan 24-26,https://www.boxofficemojo.com/weekend/2025W04/?area=GB&ref_=bo_wey_table_19,"$9,076,692",-26.80%,"$10,805,367",-24.80%,47,A Complete Unknown,https://www.boxofficemojo.com/release/rl4096360449/?ref_=bo_wey_table_19,-,-,-,4,https://www.boxofficemojo.com/weekend/2025W04/?area=GB&ref_=bo_wey_table_19,FALSE,United Kingdom
Jan 17-19,https://www.boxofficemojo.com/weekend/2025W03/?area=GB&ref_=bo_wey_table_20,"$12,404,264",-15.30%,"$14,363,407",-11.80%,49,A Complete Unknown,https://www.boxofficemojo.com/release/rl4096360449/?ref_=bo_wey_table_20,-,-,-,3,https://www.boxofficemojo.com/weekend/2025W03/?area=GB&ref_=bo_wey_table_20,FALSE,United Kingdom
Feb 7-9,https://www.boxofficemojo.com/weekend/2025W06/?area=FI&ref_=bo_wey_table_17,"$283,431",-9.60%,"$285,645",-9.20%,13,A Complete Unknown,https://www.boxofficemojo.com/release/rl2804908033/?ref_=bo_wey_table_17,-,-,-,6,https://www.boxofficemojo.com/weekend/2025W06/?area=FI&ref_=bo_wey_table_17,FALSE,Finland
Jan 29-Feb 2,https://www.boxofficemojo.com/weekend/2025W05/?area=FR&ref_=bo_wey_table_18,"$7,781,586",-6.40%,"$11,231,013",-4.60%,33,A Complete Unknown,https://www.boxofficemojo.com/release/rl388857857/?ref_=bo_wey_table_18,-,-,-,5,https://www.boxofficemojo.com/weekend/2025W05/?area=FR&ref_=bo_wey_table_18,FALSE,France
Feb 28-Mar 2,https://www.boxofficemojo.com/weekend/2025W09/?area=ES&ref_=bo_wey_table_14,"$4,104,102",6.60%,"$5,018,835",8.10%,71,A Complete Unknown,https://www.boxofficemojo.com/release/rl3627188225/?ref_=bo_wey_table_14,-,-,-,9,https://www.boxofficemojo.com/weekend/2025W09/?area=ES&ref_=bo_wey_table_14,FALSE,Spain
Mar 12-16,https://www.boxofficemojo.com/weekend/2025W11/?area=CH&ref_=bo_wey_table_12,"$797,606",31.80%,"$803,441",32.10%,13,A Complete Unknown,https://www.boxofficemojo.com/release/rl1881899009/?ref_=bo_wey_table_12,-,-,-,11,https://www.boxofficemojo.com/weekend/2025W11/?area=CH&ref_=bo_wey_table_12,FALSE,Switzerland
Jan 23-26,https://www.boxofficemojo.com/weekend/2025W04/?area=SI&ref_=bo_wey_table_19,"$136,087",-0.20%,"$152,442",<0.1%,21,A Complete Unknown,https://www.boxofficemojo.com/release/rl1294630913/?ref_=bo_wey_table_19,-,-,-,4,https://www.boxofficemojo.com/weekend/2025W04/?area=SI&ref_=bo_wey_table_19,FALSE,Slovenia
Feb 7-9,https://www.boxofficemojo.com/weekend/2025W06/?area=RO&ref_=bo_wey_table_17,"$463,071",-16.40%,"$696,711",-3.30%,33,A Complete Unknown,https://www.boxofficemojo.com/release/rl3442442241/?ref_=bo_wey_table_17,-,-,-,6,https://www.boxofficemojo.com/weekend/2025W06/?area=RO&ref_=bo_wey_table_17,FALSE,Romania
Apr 3-6,https://www.boxofficemojo.com/weekend/2025W14/?area=BR&ref_=bo_wey_table_9,"$8,016,995",279.60%,"$8,020,166",279%,14,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2621276161/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=BR&ref_=bo_wey_table_9,FALSE,Brazil
Apr 3-6,https://www.boxofficemojo.com/weekend/2025W14/?area=BR&ref_=bo_wey_table_9,"$8,016,995",279.60%,"$8,020,166",279%,14,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2621276161/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=BR&ref_=bo_wey_table_9,FALSE,Brazil
Apr 11-13,https://www.boxofficemojo.com/weekend/2025W15/?area=CN&ref_=bo_wey_table_8,"$4,832,430",-66.70%,"$4,832,430",-66.70%,4,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2587721729/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=CN&ref_=bo_wey_table_8,FALSE,China
Apr 4-6,https://www.boxofficemojo.com/weekend/2025W14/?area=CN&ref_=bo_wey_table_9,"$14,518,582",6367.80%,"$14,518,582",6367.80%,3,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2587721729/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=CN&ref_=bo_wey_table_9,FALSE,China
Apr 25-27,https://www.boxofficemojo.com/weekend/2025W17/?area=GB&ref_=bo_wey_table_6,"$13,435,020",-14.20%,"$14,756,090",-10.70%,66,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2772271105/?ref_=bo_wey_table_6,-,-,-,17,https://www.boxofficemojo.com/weekend/2025W17/?area=GB&ref_=bo_wey_table_6,FALSE,United Kingdom
Apr 18-20,https://www.boxofficemojo.com/weekend/2025W16/?area=GB&ref_=bo_wey_table_7,"$15,651,281",4.60%,"$16,528,120",<0.1%,62,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2772271105/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=GB&ref_=bo_wey_table_7,FALSE,United Kingdom
