Dates,Top 10 Gross,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Genre,Week Url,Long Weekend,Country,Formatted_Date,Month,Year,OMDB_Runtime,OMDB_Genre,OMDB_imdbID,OMDB_Budget
Mar 13-16,23410.0,-0.797,23410.0,-0.797,7,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W11/?area=TH&ref_=bo_wey_table_12,False,Thailand,2025-03-13,March,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Mar 6-9,115189.0,-0.58,115189.0,-0.58,8,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W10/?area=TH&ref_=bo_wey_table_13,False,Thailand,2025-03-06,March,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Feb 27-Mar 2,274454.0,-0.06,274454.0,-0.06,10,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W09/?area=TH&ref_=bo_wey_table_14,False,Thailand,,,,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Feb 20-23,291900.0,-0.833,291900.0,-0.833,6,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W08/?area=TH&ref_=bo_wey_table_15,False,Thailand,2025-02-20,February,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Feb 13-16,1748433.0,66.463,1748433.0,66.463,7,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W07/?area=TH&ref_=bo_wey_table_16,False,Thailand,2025-02-13,February,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Mar 6-9,533966.0,-0.499,674793.0,-0.452,54,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W10/?area=AE&ref_=bo_wey_table_13,False,UAE,2025-03-06,March,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Feb 20-23,2130081.0,-0.166,2379222.0,-0.155,49,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W08/?area=AE&ref_=bo_wey_table_15,False,UAE,2025-02-20,February,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Feb 13-16,2554801.0,0.566,2816968.0,0.394,46,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W07/?area=AE&ref_=bo_wey_table_16,False,UAE,2025-02-13,February,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Feb 21-23,409992.0,-0.454,534985.0,-0.44,38,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W08/?area=RO&ref_=bo_wey_table_15,False,Romania,2025-02-21,February,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Feb 14-16,750672.0,0.621,954564.0,0.37,37,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W07/?area=RO&ref_=bo_wey_table_16,False,Romania,2025-02-14,February,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Feb 20-23,683531.0,-0.382,781006.0,-0.37,40,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W08/?area=PT&ref_=bo_wey_table_15,False,Portugal,2025-02-20,February,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Feb 13-16,1106080.0,0.464,1239286.0,0.333,37,Captain America: Brave New World,"Action, Adventure, Sci-Fi",https://www.boxofficemojo.com/weekend/2025W07/?area=PT&ref_=bo_wey_table_16,False,Portugal,2025-02-13,February,2025.0,118 min,"Action, Adventure, Sci-Fi",tt14513804,"$200,480,609"
Jan 4-5,17517827.0,0.379,17532467.0,0.38,13,Cells at Work!,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W01/?area=JP&ref_=bo_wey_table_22,False,Japan,2025-01-04,January,2025.0,24 min,"Animation, Action, Adventure",tt8673610,
Mar 13-16,374366.0,0.198,449282.0,0.224,21,Cernak,Crime,https://www.boxofficemojo.com/weekend/2025W11/?area=SK&ref_=bo_wey_table_12,False,Slovakia,2025-03-13,March,2025.0,N/A,Crime,tt33363796,N/A
Mar 6-9,312439.0,-0.245,367183.0,-0.194,22,Cernak,Crime,https://www.boxofficemojo.com/weekend/2025W10/?area=SK&ref_=bo_wey_table_13,False,Slovakia,2025-03-06,March,2025.0,N/A,Crime,tt33363796,N/A
Feb 27-Mar 2,413814.0,-0.28,455830.0,-0.272,20,Cernak,Crime,https://www.boxofficemojo.com/weekend/2025W09/?area=SK&ref_=bo_wey_table_14,False,Slovakia,,,,N/A,Crime,tt33363796,N/A
Feb 20-23,574464.0,-0.277,625742.0,-0.286,21,Cernak,Crime,https://www.boxofficemojo.com/weekend/2025W08/?area=SK&ref_=bo_wey_table_15,False,Slovakia,2025-02-20,February,2025.0,N/A,Crime,tt33363796,N/A
Feb 13-16,794790.0,-0.09,875983.0,-0.06,21,Cernak,Crime,https://www.boxofficemojo.com/weekend/2025W07/?area=SK&ref_=bo_wey_table_16,False,Slovakia,2025-02-13,February,2025.0,N/A,Crime,tt33363796,N/A
Feb 6-9,873417.0,-0.365,932251.0,-0.346,22,Cernak,Crime,https://www.boxofficemojo.com/weekend/2025W06/?area=SK&ref_=bo_wey_table_17,False,Slovakia,2025-02-06,February,2025.0,N/A,Crime,tt33363796,N/A
Jan 30-Feb 2,1376519.0,2.635,1425773.0,2.284,20,Cernak,Crime,https://www.boxofficemojo.com/weekend/2025W05/?area=SK&ref_=bo_wey_table_18,False,Slovakia,,,,N/A,Crime,tt33363796,N/A
Jan 30-Feb 2,229690.0,1.238,229690.0,1.238,8,Companion,"Sci-Fi, Thriller",https://www.boxofficemojo.com/weekend/2025W05/?area=TH&ref_=bo_wey_table_18,False,Thailand,,,,97 min,"Sci-Fi, Thriller",tt26584495,"$20,809,101"
Feb 7-9,102624.0,-0.114,102624.0,-0.114,9,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W06/?area=IN&ref_=bo_wey_table_17,False,Australia,2025-02-07,February,2025.0,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
Feb 7-9,102624.0,-0.114,102624.0,-0.114,9,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W06/?area=IN&ref_=bo_wey_table_17,False,India,2025-02-07,February,2025.0,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
Jan 30-Feb 2,156909.0,-0.055,156909.0,-0.055,9,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W05/?area=IL&ref_=bo_wey_table_18,False,Israel,,,,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
May 15-18,838.0,-0.431,838.0,-0.431,1,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W20/?area=UY&ref_=bo_wey_table_3,False,Uruguay,2025-05-15,May,2025.0,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
May 8-11,1472.0,-0.407,1472.0,-0.407,1,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W19/?area=UY&ref_=bo_wey_table_4,False,Uruguay,2025-05-08,May,2025.0,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
May 1-4,2481.0,-0.526,2481.0,-0.526,2,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W18/?area=UY&ref_=bo_wey_table_5,False,Uruguay,2025-05-01,May,2025.0,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
Apr 24-27,5237.0,-0.38,5237.0,-0.38,4,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W17/?area=UY&ref_=bo_wey_table_6,False,Uruguay,2025-04-24,April,2025.0,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
Feb 27-Mar 2,36423.0,-0.007,36423.0,-0.007,9,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W09/?area=UY&ref_=bo_wey_table_14,False,Uruguay,,,,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
Feb 20-23,36675.0,-0.265,36675.0,-0.265,10,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W08/?area=UY&ref_=bo_wey_table_15,False,Uruguay,2025-02-20,February,2025.0,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
Feb 6-9,37512.0,0.24,37512.0,0.24,9,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W06/?area=UY&ref_=bo_wey_table_17,False,Uruguay,2025-02-06,February,2025.0,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
Jan 30-Feb 2,30245.0,0.133,30245.0,0.133,8,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W05/?area=UY&ref_=bo_wey_table_18,False,Uruguay,,,,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
May 15-18,1850.0,-0.996,1850.0,-0.997,2,Conclave,"Drama, Thriller",https://www.boxofficemojo.com/weekend/2025W20/?area=PT&ref_=bo_wey_table_3,False,Portugal,2025-05-15,May,2025.0,120 min,"Drama, Thriller",tt20215234,"$32,580,655"
Jan 24-26,8514425.0,1.867,9081298.0,1.431,38,Dark Nuns,"Horror, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W04/?area=KR&ref_=bo_wey_table_19,False,South Korea,2025-01-24,January,2025.0,N/A,"Horror, Mystery, Thriller",tt32491690,N/A
Feb 7-9,1565139.0,-0.359,1846058.0,-0.314,51,Dayi: Bir Adamin Hikayesi 2,"Action, Adventure, Drama",https://www.boxofficemojo.com/weekend/2025W06/?area=TR&ref_=bo_wey_table_17,False,Turkey,2025-02-07,February,2025.0,100 min,"Action, Adventure, Drama",tt33268102,N/A
Apr 19-20,51741865.0,7.305,52173246.0,7.318,19,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,"Animation, Action, Fantasy",https://www.boxofficemojo.com/weekend/2025W16/?area=JP&ref_=bo_wey_table_7,False,Japan,2025-04-19,April,2025.0,87 min,"Animation, Action, Fantasy",tt16492678,N/A
Jan 30-Feb 2,131387.0,-0.468,133980.0,-0.458,12,Den of Thieves: Pantera,"Action, Crime, Drama",https://www.boxofficemojo.com/weekend/2025W05/?area=GR&ref_=bo_wey_table_18,False,Greece,,,,144 min,"Action, Crime, Drama",tt8008948,"$36,015,016"
Jan 23-26,247000.0,0.835,247405.0,0.838,11,Den of Thieves: Pantera,"Action, Crime, Drama",https://www.boxofficemojo.com/weekend/2025W04/?area=GR&ref_=bo_wey_table_19,False,Greece,2025-01-23,January,2025.0,144 min,"Action, Crime, Drama",tt8008948,"$36,015,016"
Jan 9-12,379063.0,0.216,379063.0,0.216,5,Den of Thieves: Pantera,"Action, Crime, Drama",https://www.boxofficemojo.com/weekend/2025W02/?area=IL&ref_=bo_wey_table_21,False,Israel,2025-01-09,January,2025.0,144 min,"Action, Crime, Drama",tt8008948,"$36,015,016"
Feb 7-9,285029.0,-0.622,285029.0,-0.622,9,Den of Thieves: Pantera,"Action, Crime, Drama",https://www.boxofficemojo.com/weekend/2025W06/?area=TW&ref_=bo_wey_table_17,False,Taiwan,2025-02-07,February,2025.0,144 min,"Action, Crime, Drama",tt8008948,"$36,015,016"
Jan 31-Feb 2,754971.0,4.419,754971.0,4.419,9,Den of Thieves: Pantera,"Action, Crime, Drama",https://www.boxofficemojo.com/weekend/2025W05/?area=TW&ref_=bo_wey_table_18,False,Taiwan,,,,144 min,"Action, Crime, Drama",tt8008948,"$36,015,016"
May 31-Jun 1,9257587.0,-0.129,9426307.0,-0.136,18,Detective Conan: One-eyed Flashback,Not found,https://www.boxofficemojo.com/weekend/2025W22/?area=JP&ref_=bo_wey_table_1,False,Japan,,,,,,,
May 24-25,10628563.0,0.018,10906063.0,-0.008,18,Detective Conan: One-eyed Flashback,Not found,https://www.boxofficemojo.com/weekend/2025W21/?area=JP&ref_=bo_wey_table_2,False,Japan,2025-05-24,May,2025.0,,,,
May 17-18,10443192.0,-0.092,10989676.0,-0.063,19,Detective Conan: One-eyed Flashback,Not found,https://www.boxofficemojo.com/weekend/2025W20/?area=JP&ref_=bo_wey_table_3,False,Japan,2025-05-17,May,2025.0,,,,
May 10-11,11498218.0,-0.492,11729028.0,-0.482,17,Detective Conan: One-eyed Flashback,Not found,https://www.boxofficemojo.com/weekend/2025W19/?area=JP&ref_=bo_wey_table_4,False,Japan,2025-05-10,May,2025.0,,,,
May 3-4,22641980.0,0.044,22663071.0,0.044,12,Detective Conan: One-eyed Flashback,Not found,https://www.boxofficemojo.com/weekend/2025W18/?area=JP&ref_=bo_wey_table_5,False,Japan,2025-05-03,May,2025.0,,,,
Apr 26-27,21695225.0,-0.581,21701736.0,-0.584,12,Detective Conan: One-eyed Flashback,Not found,https://www.boxofficemojo.com/weekend/2025W17/?area=JP&ref_=bo_wey_table_6,False,Japan,2025-04-26,April,2025.0,,,,
May 9-11,2879144.0,-0.377,2888084.0,-0.376,15,Detective Kien: The Headless Horror,"Drama, Horror, Mystery",https://www.boxofficemojo.com/weekend/2025W19/?area=VN&ref_=bo_wey_table_3,False,Vietnam,2025-05-09,May,2025.0,131 min,"Drama, Horror, Mystery",tt36386168,N/A
Apr 25-27,2108232.0,725.977,2127113.0,732.487,23,Detective Kien: The Headless Horror,"Drama, Horror, Mystery",https://www.boxofficemojo.com/weekend/2025W17/?area=VN&ref_=bo_wey_table_5,False,Vietnam,2025-04-25,April,2025.0,131 min,"Drama, Horror, Mystery",tt36386168,N/A
Jan 30-Feb 2,1577012.0,0.023,2032193.0,0.104,50,Deva,"Action, Crime, Drama",https://www.boxofficemojo.com/weekend/2025W05/?area=AE&ref_=bo_wey_table_18,False,UAE,,,,156 min,"Action, Crime, Drama",tt27852049,N/A
Apr 25-27,17715.0,-0.726,17715.0,-0.726,4,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W17/?area=IN&ref_=bo_wey_table_6,False,Australia,2025-04-25,April,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Apr 25-27,17715.0,-0.726,17715.0,-0.726,4,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W17/?area=IN&ref_=bo_wey_table_6,False,India,2025-04-25,April,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Feb 7-9,9205960.0,0.218,11208821.0,0.113,47,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W06/?area=GB&ref_=bo_wey_table_17,False,United Kingdom,2025-02-07,February,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Jan 30-Feb 2,472883.0,-0.413,477933.0,-0.415,12,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W05/?area=DK&ref_=bo_wey_table_18,False,Denmark,,,,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Apr 24-27,4725.0,0.097,4725.0,0.097,5,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W17/?area=GR&ref_=bo_wey_table_6,False,Greece,2025-04-24,April,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Feb 27-Mar 2,154315.0,-0.499,154315.0,-0.499,8,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W09/?area=GR&ref_=bo_wey_table_14,False,Greece,,,,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Feb 13-16,302199.0,0.408,302199.0,0.408,9,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W07/?area=GR&ref_=bo_wey_table_16,False,Greece,2025-02-13,February,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
May 15-18,37505.0,0.077,37505.0,0.077,3,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W20/?area=IL&ref_=bo_wey_table_3,False,Israel,2025-05-15,May,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Apr 17-20,102889.0,23.226,102889.0,23.226,7,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W16/?area=IL&ref_=bo_wey_table_7,False,Israel,2025-04-17,April,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Mar 20-23,189749.0,-0.554,189749.0,-0.554,10,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W12/?area=IL&ref_=bo_wey_table_11,False,Israel,2025-03-20,March,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Mar 13-16,424981.0,1.555,425317.0,1.557,11,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W11/?area=IL&ref_=bo_wey_table_12,False,Israel,2025-03-13,March,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Mar 13-16,162334.0,0.071,169082.0,0.051,15,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W11/?area=SG&ref_=bo_wey_table_12,False,Singapore,2025-03-13,March,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Feb 7-9,3290112.0,-0.239,3993133.0,-0.231,59,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W06/?area=ES&ref_=bo_wey_table_17,False,Spain,2025-02-07,February,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Jan 31-Feb 2,4320592.0,0.115,5191734.0,0.083,27,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W05/?area=ES&ref_=bo_wey_table_18,False,Spain,,,,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
May 29-Jun 1,860.0,-1.0,860.0,-1.0,1,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W22/?area=AE&ref_=bo_wey_table_1,False,UAE,,,,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Mar 27-30,21146.0,-0.965,21146.0,-0.968,2,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W13/?area=AE&ref_=bo_wey_table_10,False,UAE,2025-03-27,March,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Mar 19-23,1388.0,-0.593,1388.0,-0.593,1,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W12/?area=TT&ref_=bo_wey_table_7,False,Trinad & Tobago,2025-03-19,March,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Mar 12-16,3411.0,-0.451,3411.0,-0.451,2,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W11/?area=TT&ref_=bo_wey_table_8,False,Trinad & Tobago,2025-03-12,March,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Mar 5-9,6214.0,-0.062,6214.0,-0.062,3,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W10/?area=TT&ref_=bo_wey_table_9,False,Trinad & Tobago,2025-03-05,March,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Feb 26-Mar 2,6627.0,-0.154,6627.0,-0.154,3,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W09/?area=TT&ref_=bo_wey_table_10,False,Trinad & Tobago,,,,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Feb 19-23,7832.0,-0.35,7832.0,-0.35,3,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W08/?area=TT&ref_=bo_wey_table_11,False,Trinad & Tobago,2025-02-19,February,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Feb 5-9,7967.0,-0.353,7967.0,-0.353,1,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W06/?area=TT&ref_=bo_wey_table_13,False,Trinad & Tobago,2025-02-05,February,2025.0,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Jan 29-Feb 2,12305.0,0.264,12305.0,0.264,2,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W05/?area=TT&ref_=bo_wey_table_14,False,Trinad & Tobago,,,,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Feb 27-Mar 2,283366.0,-0.585,283410.0,-0.637,11,Dog Man,"Animation, Action, Adventure",https://www.boxofficemojo.com/weekend/2025W09/?area=PT&ref_=bo_wey_table_14,False,Portugal,,,,89 min,"Animation, Action, Adventure",tt10954718,"$97,970,355"
Apr 12-13,6229952.0,-0.146,6272626.0,-0.184,17,Doraemon: Nobita's Art World Tales,"Animation, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=JP&ref_=bo_wey_table_8,False,Japan,2025-04-12,April,2025.0,N/A,"Animation, Adventure, Comedy",tt33512868,N/A
Apr 5-6,7293031.0,-0.196,7683252.0,-0.163,19,Doraemon: Nobita's Art World Tales,"Animation, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=JP&ref_=bo_wey_table_9,False,Japan,2025-04-05,April,2025.0,N/A,"Animation, Adventure, Comedy",tt33512868,N/A
Mar 29-30,9068601.0,-0.096,9180039.0,-0.106,18,Doraemon: Nobita's Art World Tales,"Animation, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W13/?area=JP&ref_=bo_wey_table_10,False,Japan,2025-03-29,March,2025.0,N/A,"Animation, Adventure, Comedy",tt33512868,N/A
Mar 22-23,10026999.0,-0.198,10272241.0,-0.217,18,Doraemon: Nobita's Art World Tales,"Animation, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W12/?area=JP&ref_=bo_wey_table_11,False,Japan,2025-03-22,March,2025.0,N/A,"Animation, Adventure, Comedy",tt33512868,N/A
Mar 15-16,12509644.0,-0.074,13111605.0,-0.077,18,Doraemon: Nobita's Art World Tales,"Animation, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W11/?area=JP&ref_=bo_wey_table_12,False,Japan,2025-03-15,March,2025.0,N/A,"Animation, Adventure, Comedy",tt33512868,N/A
Mar 8-9,13502560.0,0.879,14205743.0,0.791,18,Doraemon: Nobita's Art World Tales,"Animation, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W10/?area=JP&ref_=bo_wey_table_13,False,Japan,2025-03-08,March,2025.0,N/A,"Animation, Adventure, Comedy",tt33512868,N/A
May 23-25,1045529.0,-0.619,1058754.0,-0.616,19,Doraemon: Nobita's Art World Tales,"Animation, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W21/?area=VN&ref_=bo_wey_table_1,False,Vietnam,2025-05-23,May,2025.0,N/A,"Animation, Adventure, Comedy",tt33512868,N/A
May 16-18,2747541.0,-0.046,2760699.0,-0.044,17,Doraemon: Nobita's Art World Tales,"Animation, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W20/?area=VN&ref_=bo_wey_table_2,False,Vietnam,2025-05-16,May,2025.0,N/A,"Animation, Adventure, Comedy",tt33512868,N/A
Apr 24-27,23136.0,-0.691,23136.0,-0.691,3,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W17/?area=MY&ref_=bo_wey_table_6,False,Malaysia,2025-04-24,April,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
May 29-Jun 1,9610.0,-0.481,9610.0,-0.481,2,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W22/?area=IL&ref_=bo_wey_table_1,False,Israel,,,,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
May 22-25,18534.0,-0.506,18534.0,-0.506,4,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W21/?area=IL&ref_=bo_wey_table_2,False,Israel,2025-05-22,May,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
May 8-11,34838.0,-0.343,34838.0,-0.343,3,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W19/?area=IL&ref_=bo_wey_table_4,False,Israel,2025-05-08,May,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
May 1-4,53031.0,-0.032,53031.0,-0.032,5,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W18/?area=IL&ref_=bo_wey_table_5,False,Israel,2025-05-01,May,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
Apr 24-27,54788.0,-0.468,54788.0,-0.468,6,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W17/?area=IL&ref_=bo_wey_table_6,False,Israel,2025-04-24,April,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
May 2-4,266.0,-0.891,266.0,-0.891,1,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W18/?area=VE&ref_=bo_wey_table_5,False,Venezuela,2025-05-02,May,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
Apr 25-27,2436.0,-0.861,2436.0,-0.861,1,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W17/?area=VE&ref_=bo_wey_table_6,False,Venezuela,2025-04-25,April,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
Apr 18-20,17588.0,-0.35,17588.0,-0.35,4,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W16/?area=VE&ref_=bo_wey_table_7,False,Venezuela,2025-04-18,April,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
Apr 11-13,27065.0,0.125,27065.0,0.125,4,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W15/?area=VE&ref_=bo_wey_table_8,False,Venezuela,2025-04-11,April,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
May 15-18,51.0,-0.691,51.0,-0.691,1,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W20/?area=UA&ref_=bo_wey_table_3,False,Ukraine,2025-05-15,May,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
May 8-11,165.0,-0.516,165.0,-0.516,1,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W19/?area=UA&ref_=bo_wey_table_4,False,Ukraine,2025-05-08,May,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
May 1-4,341.0,-0.838,341.0,-0.838,1,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W18/?area=UA&ref_=bo_wey_table_5,False,Ukraine,2025-05-01,May,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
Apr 24-27,2107.0,-0.826,2107.0,-0.826,2,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W17/?area=UA&ref_=bo_wey_table_6,False,Ukraine,2025-04-24,April,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
Apr 17-20,12129.0,-0.809,12129.0,-0.809,2,Drop,"Drama, Mystery, Thriller",https://www.boxofficemojo.com/weekend/2025W16/?area=UA&ref_=bo_wey_table_7,False,Ukraine,2025-04-17,April,2025.0,95 min,"Drama, Mystery, Thriller",tt32149847,"$16,595,320"
