Dates,Top 10 Gross,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Genre,Week Url,Long Weekend,Country,Formatted_Date,Month,Year,OMDB_Runtime,OMDB_Genre,OMDB_imdbID,OMDB_Budget
Apr 11-13,14957484.0,-0.462,16518346.0,-0.429,59,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=GB&ref_=bo_wey_table_8,False,United Kingdom,2025-04-11,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 4-6,27807196.0,2.545,28937483.0,2.204,55,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=GB&ref_=bo_wey_table_9,False,United Kingdom,2025-04-04,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
May 15-18,805868.0,-0.064,882998.0,-0.051,19,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W20/?area=CZ&ref_=bo_wey_table_3,False,Czech Replublic,2025-05-15,May,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
May 8-11,860574.0,-0.176,930355.0,-0.156,21,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W19/?area=CZ&ref_=bo_wey_table_4,False,Czech Replublic,2025-05-08,May,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
May 1-4,1044947.0,-0.245,1102876.0,-0.23,20,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W18/?area=CZ&ref_=bo_wey_table_5,False,Czech Replublic,2025-05-01,May,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 17-20,1268635.0,-0.453,1294844.0,-0.459,18,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W16/?area=CZ&ref_=bo_wey_table_7,False,Czech Replublic,2025-04-17,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 10-13,2318477.0,0.004,2392933.0,-0.01,21,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=CZ&ref_=bo_wey_table_8,False,Czech Replublic,2025-04-10,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 3-6,2309155.0,3.245,2416592.0,2.717,23,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W14/?area=CZ&ref_=bo_wey_table_9,False,Czech Replublic,2025-04-03,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 16-20,12026835.0,-0.027,14955614.0,-0.045,40,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W16/?area=FR&ref_=bo_wey_table_7,False,France,2025-04-16,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
Apr 9-13,12358326.0,0.122,15658115.0,0.111,39,A Minecraft Movie,"Action, Adventure, Comedy",https://www.boxofficemojo.com/weekend/2025W15/?area=FR&ref_=bo_wey_table_8,False,France,2025-04-09,April,2025.0,101 min,"Action, Adventure, Comedy",tt3566834,"$409,163,240"
