Rank,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Long Weekend,Country,Formatted_Date,Month,Year,Runtime,Genre,IMDb_ID,Budget
14957484,-0.462,16518346,-0.429,59,A Minecraft Movie,FALSE,United Kingdom,11-04-2025,April,2025,101,Comedy,tt3566834,409163240
27807196,2.545,28937483,2.204,55,A Minecraft Movie,FALSE,United Kingdom,04-04-2025,April,2025,101,Action,tt3566834,409163240
27807196,2.545,28937483,2.204,55,A Minecraft Movie,FALSE,United Kingdom,04-04-2025,April,2025,101,Adventure,tt3566834,409163240
27807196,2.545,28937483,2.204,55,A Minecraft Movie,FALSE,United Kingdom,04-04-2025,April,2025,101,Comedy,tt3566834,409163240
805868,-0.064,882998,-0.051,19,A Minecraft Movie,FALSE,Czech Replublic,15-05-2025,May,2025,101,Action,tt3566834,409163240
805868,-0.064,882998,-0.051,19,A Minecraft Movie,FALSE,Czech Replublic,15-05-2025,May,2025,101,Adventure,tt3566834,409163240
805868,-0.064,882998,-0.051,19,A Minecraft Movie,FALSE,Czech Replublic,15-05-2025,May,2025,101,Comedy,tt3566834,409163240
860574,-0.176,930355,-0.156,21,A Minecraft Movie,FALSE,Czech Replublic,08-05-2025,May,2025,101,Action,tt3566834,409163240
860574,-0.176,930355,-0.156,21,A Minecraft Movie,FALSE,Czech Replublic,08-05-2025,May,2025,101,Adventure,tt3566834,409163240
860574,-0.176,930355,-0.156,21,A Minecraft Movie,FALSE,Czech Replublic,08-05-2025,May,2025,101,Comedy,tt3566834,409163240
1044947,-0.245,1102876,-0.23,20,A Minecraft Movie,FALSE,Czech Replublic,01-05-2025,May,2025,101,Action,tt3566834,409163240
1044947,-0.245,1102876,-0.23,20,A Minecraft Movie,FALSE,Czech Replublic,01-05-2025,May,2025,101,Adventure,tt3566834,409163240
1044947,-0.245,1102876,-0.23,20,A Minecraft Movie,FALSE,Czech Replublic,01-05-2025,May,2025,101,Comedy,tt3566834,409163240
1268635,-0.453,1294844,-0.459,18,A Minecraft Movie,FALSE,Czech Replublic,17-04-2025,April,2025,101,Action,tt3566834,409163240
1268635,-0.453,1294844,-0.459,18,A Minecraft Movie,FALSE,Czech Replublic,17-04-2025,April,2025,101,Adventure,tt3566834,409163240
1268635,-0.453,1294844,-0.459,18,A Minecraft Movie,FALSE,Czech Replublic,17-04-2025,April,2025,101,Comedy,tt3566834,409163240
2318477,0.004,2392933,-0.01,21,A Minecraft Movie,FALSE,Czech Replublic,10-04-2025,April,2025,101,Action,tt3566834,409163240
2318477,0.004,2392933,-0.01,21,A Minecraft Movie,FALSE,Czech Replublic,10-04-2025,April,2025,101,Adventure,tt3566834,409163240
2318477,0.004,2392933,-0.01,21,A Minecraft Movie,FALSE,Czech Replublic,10-04-2025,April,2025,101,Comedy,tt3566834,409163240
